country,iso3c,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,FRA,377.2787,363.6897,365.0236,360.1587,326.9509,332.1533,334.7732,338.709,328.5501,322.9043,287.0868,316.7044,307.6802,284.1541
French Polynesia,PYF,0.9897,0.9571,0.9246,0.9938,0.9835,1.0058,1.0079,0.8808,0.7829,0.785,0.715,0.64,0.9258,0.9282
Gabon,GAB,5.9582,5.82,5.89,6.0777,6.2671,6.4413,6.559,5.7489,5.4109,5.6528,5.5287,5.3647,5.5833,5.1205
"Gambia, The",GMB,0.4408,0.4636,0.4444,0.4463,0.4838,0.509,0.5138,0.5236,0.4603,0.465,0.422,0.4776,0.4949,0.4738
Georgia,GEO,6.3124,7.5848,8.2738,9.1493,9.8404,10.647,11.0252,11.1709,11.137,11.9227,11.5406,12.3432,13.463,13.5563
Germany,DEU,814.962,788.1211,800.0321,817.8158,778.7527,784.9143,789.2489,774.4767,746.6974,696.5002,642.0878,670.667,658.0886,589.6596
Ghana,GHA,11.128,11.9922,14.4756,15.3977,14.8352,15.6106,16.04,17.3725,19.0565,20.2766,22.9458,24.4916,23.7878,23.2246
Gibraltar,GIB,0.4748,0.4592,0.4686,0.4998,0.5373,0.5872,0.6123,0.6498,0.6897,0.7174,0.6394,0.6416,0.6357,0.6292
Greece,GRC,89.0981,86.1447,81.555,73.8775,71.0085,69.4522,68.1612,68.3839,66.5357,61.4927,52.3606,53.7151,55.1164,51.2379
Greenland,GRL,0.6428,0.6829,0.5389,0.5374,0.4808,0.5188,0.5159,0.5031,0.5083,0.5239,0.5275,0.5484,0.5904,0.5849
Grenada,GRD,0.1188,0.0919,0.0951,0.1226,0.11,0.1171,0.1276,0.128,0.1435,0.1804,0.1536,0.1608,0.1694,0.1699
Guam,GUM,3e-4,3e-4,3e-4,3e-4,2e-4,2e-4,3e-4,3e-4,3e-4,4e-4,4e-4,3e-4,3e-4,3e-4
Guatemala,GTM,11.7791,12.1427,12.5792,13.5353,14.5357,16.9576,18.0238,17.0573,18.7397,19.663,17.6187,20.2047,18.9518,20.1279
Guinea,GIN,2.5103,2.6535,2.5111,2.2699,2.3734,2.8673,3.2295,3.2701,3.7415,4.814,5.3934,5.0777,5.2208,5.0264
Guinea-Bissau,GNB,0.3138,0.3184,0.3202,0.3295,0.3412,0.3625,0.3788,0.3066,0.3526,0.3566,0.3363,0.336,0.3439,0.3293
Guyana,GUY,1.7612,1.8334,2.0026,1.9774,2.0651,2.0746000000000002,2.4564,2.4688,2.5808,2.7934,3.3298,3.3211,3.684,3.7405
Haiti,HTI,2.5989,2.9444,2.7586,2.9774,3.2283,3.494,3.578,3.5867,3.5577,3.5949,3.4445,3.4083,3.3893,3.3805
Honduras,HND,7.9832,9.491,9.9296,10.1202,9.9347,10.8188,9.7321,9.3472,9.0061,10.1525,9.222,10.3706,10.5707,11.8491
"Hong Kong SAR, China",HKG,42.2277,45.1822,44.647,46.1858,47.5543,44.2455,45.0794,44.1348,44.0591,43.5082,34.0619,34.5373,32.1322,34.1194
Hungary,HUN,52.3463,51.4367,47.6527,44.7966,44.8322,47.541,48.2651,51.1346,51.2595,51.5028,49.6521,50.986,47.5733,42.9776
Iceland,ISL,3.7364,3.6038,3.6451,3.7106,3.4639,3.6292,3.1789,3.3299,3.2946,3.1768,3.0717,3.1637,3.2394,3.22
